bloco,irrigacao,biofertilizante,tratamento,produtividade_sacas_ha
Bloco_018,reduzida,com_biofertilizante,reduzida_com_biofertilizante,63.0
Bloco_018,adequada,sem_biofertilizante,adequada_sem_biofertilizante,67.54
Bloco_018,adequada,com_biofertilizante,adequada_com_biofertilizante,74.92
Bloco_019,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,66.47
Bloco_019,reduzida,com_biofertilizante,reduzida_com_biofertilizante,71.35
Bloco_019,adequada,sem_biofertilizante,adequada_sem_biofertilizante,72.07
Bloco_019,adequada,com_biofertilizante,adequada_com_biofertilizante,81.28
Bloco_020,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.47
Bloco_020,reduzida,com_biofertilizante,reduzida_com_biofertilizante,54.15
Bloco_020,adequada,sem_biofertilizante,adequada_sem_biofertilizante,62.99
Bloco_020,adequada,com_biofertilizante,adequada_com_biofertilizante,69.67
Bloco_021,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,56.5
Bloco_021,reduzida,com_biofertilizante,reduzida_com_biofertilizante,64.04
Bloco_021,adequada,sem_biofertilizante,adequada_sem_biofertilizante,71.93
Bloco_021,adequada,com_biofertilizante,adequada_com_biofertilizante,73.72
Bloco_022,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.85
Bloco_022,reduzida,com_biofertilizante,reduzida_com_biofertilizante,69.27
Bloco_022,adequada,sem_biofertilizante,adequada_sem_biofertilizante,68.74
Bloco_022,adequada,com_biofertilizante,adequada_com_biofertilizante,80.32
Bloco_023,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.36
Bloco_023,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.11
Bloco_023,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.79
Bloco_023,adequada,com_biofertilizante,adequada_com_biofertilizante,66.39
Bloco_024,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.08
Bloco_024,reduzida,com_biofertilizante,reduzida_com_biofertilizante,49.72
Bloco_024,adequada,sem_biofertilizante,adequada_sem_biofertilizante,55.95
Bloco_024,adequada,com_biofertilizante,adequada_com_biofertilizante,65.72
Bloco_025,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,55.81
Bloco_025,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.99
Bloco_025,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.12
Bloco_025,adequada,com_biofertilizante,adequada_com_biofertilizante,70.1
Bloco_026,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,49.53
Bloco_026,reduzida,com_biofertilizante,reduzida_com_biofertilizante,55.18
Bloco_026,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.8
Bloco_026,adequada,com_biofertilizante,adequada_com_biofertilizante,71.95
Bloco_027,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,48.47
Bloco_027,reduzida,com_biofertilizante,reduzida_com_biofertilizante,50.24
Bloco_027,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.54
Bloco_027,adequada,com_biofertilizante,adequada_com_biofertilizante,73.76
Bloco_028,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,44.88
Bloco_028,reduzida,com_biofertilizante,reduzida_com_biofertilizante,52.26
Bloco_028,adequada,sem_biofertilizante,adequada_sem_biofertilizante,54.07
Bloco_028,adequada,com_biofertilizante,adequada_com_biofertilizante,64.55
Bloco_029,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,39.59
Bloco_029,reduzida,com_biofertilizante,reduzida_com_biofertilizante,44.36
Bloco_029,adequada,sem_biofertilizante,adequada_sem_biofertilizante,49.93
Bloco_029,adequada,com_biofertilizante,adequada_com_biofertilizante,62.73
Bloco_030,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.48
Bloco_030,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.08
Bloco_030,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.73
Bloco_030,adequada,com_biofertilizante,adequada_com_biofertilizante,77.33
Bloco_031,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,58.79
Bloco_031,reduzida,com_biofertilizante,reduzida_com_biofertilizante,69.68
Bloco_031,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.42
Bloco_031,adequada,com_biofertilizante,adequada_com_biofertilizante,78.65
Bloco_032,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,56.04
Bloco_032,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.55
Bloco_032,adequada,sem_biofertilizante,adequada_sem_biofertilizante,68.7
Bloco_032,adequada,com_biofertilizante,adequada_com_biofertilizante,74.73
Bloco_033,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,59.99
Bloco_033,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.44
Bloco_033,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.11
Bloco_033,adequada,com_biofertilizante,adequada_com_biofertilizante,75.37
Bloco_034,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,37.18
Bloco_034,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.72
Bloco_034,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.01
Bloco_034,adequada,com_biofertilizante,adequada_com_biofertilizante,58.87
Bloco_035,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,54.16
Bloco_035,reduzida,com_biofertilizante,reduzida_com_biofertilizante,55.93
Bloco_035,adequada,sem_biofertilizante,adequada_sem_biofertilizante,58.91
Bloco_035,adequada,com_biofertilizante,adequada_com_biofertilizante,65.41
Bloco_036,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.29
Bloco_036,reduzida,com_biofertilizante,reduzida_com_biofertilizante,53.74
Bloco_036,adequada,sem_biofertilizante,adequada_sem_biofertilizante,59.17
Bloco_036,adequada,com_biofertilizante,adequada_com_biofertilizante,69.16
Bloco_037,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.71
Bloco_037,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.57
Bloco_037,adequada,sem_biofertilizante,adequada_sem_biofertilizante,53.49
Bloco_037,adequada,com_biofertilizante,adequada_com_biofertilizante,66.04
Bloco_038,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.74
Bloco_038,reduzida,com_biofertilizante,reduzida_com_biofertilizante,55.57
Bloco_038,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.07
Bloco_038,adequada,com_biofertilizante,adequada_com_biofertilizante,64.5
Bloco_039,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,39.12
Bloco_039,reduzida,com_biofertilizante,reduzida_com_biofertilizante,46.0
Bloco_039,adequada,sem_biofertilizante,adequada_sem_biofertilizante,54.52
Bloco_039,adequada,com_biofertilizante,adequada_com_biofertilizante,61.9
Bloco_040,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.08
Bloco_040,reduzida,com_biofertilizante,reduzida_com_biofertilizante,67.26
Bloco_040,adequada,sem_biofertilizante,adequada_sem_biofertilizante,70.89
Bloco_040,adequada,com_biofertilizante,adequada_com_biofertilizante,75.27
Bloco_041,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,43.27
Bloco_041,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.11
Bloco_041,adequada,sem_biofertilizante,adequada_sem_biofertilizante,45.51
Bloco_041,adequada,com_biofertilizante,adequada_com_biofertilizante,66.23
Bloco_042,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.46
Bloco_042,reduzida,com_biofertilizante,reduzida_com_biofertilizante,53.48
Bloco_042,adequada,sem_biofertilizante,adequada_sem_biofertilizante,60.64
Bloco_042,adequada,com_biofertilizante,adequada_com_biofertilizante,69.91
Bloco_043,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,63.57
Bloco_043,reduzida,com_biofertilizante,reduzida_com_biofertilizante,74.96
Bloco_043,adequada,sem_biofertilizante,adequada_sem_biofertilizante,75.99
Bloco_043,adequada,com_biofertilizante,adequada_com_biofertilizante,88.86
Bloco_044,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,58.31
Bloco_044,reduzida,com_biofertilizante,reduzida_com_biofertilizante,69.69
Bloco_044,adequada,sem_biofertilizante,adequada_sem_biofertilizante,73.29
Bloco_044,adequada,com_biofertilizante,adequada_com_biofertilizante,82.33
Bloco_045,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,56.91
Bloco_045,reduzida,com_biofertilizante,reduzida_com_biofertilizante,68.98
Bloco_045,adequada,sem_biofertilizante,adequada_sem_biofertilizante,70.68
Bloco_045,adequada,com_biofertilizante,adequada_com_biofertilizante,76.36
Bloco_046,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.8
Bloco_046,reduzida,com_biofertilizante,reduzida_com_biofertilizante,58.85
Bloco_046,adequada,sem_biofertilizante,adequada_sem_biofertilizante,59.9
Bloco_046,adequada,com_biofertilizante,adequada_com_biofertilizante,74.19
Bloco_047,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,41.16
Bloco_047,reduzida,com_biofertilizante,reduzida_com_biofertilizante,50.09
Bloco_047,adequada,sem_biofertilizante,adequada_sem_biofertilizante,51.52
Bloco_047,adequada,com_biofertilizante,adequada_com_biofertilizante,65.65
Bloco_048,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,49.2
Bloco_048,reduzida,com_biofertilizante,reduzida_com_biofertilizante,52.13
Bloco_048,adequada,sem_biofertilizante,adequada_sem_biofertilizante,55.46
Bloco_048,adequada,com_biofertilizante,adequada_com_biofertilizante,72.72
Bloco_049,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,59.58
Bloco_049,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.26
Bloco_049,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.74
Bloco_049,adequada,com_biofertilizante,adequada_com_biofertilizante,77.06
Bloco_050,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,58.84
Bloco_050,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.91
Bloco_050,adequada,sem_biofertilizante,adequada_sem_biofertilizante,72.5
Bloco_050,adequada,com_biofertilizante,adequada_com_biofertilizante,83.8
Bloco_051,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,59.63
Bloco_051,reduzida,com_biofertilizante,reduzida_com_biofertilizante,59.13
Bloco_051,adequada,sem_biofertilizante,adequada_sem_biofertilizante,70.88
Bloco_051,adequada,com_biofertilizante,adequada_com_biofertilizante,70.31
Bloco_052,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,54.65
Bloco_052,reduzida,com_biofertilizante,reduzida_com_biofertilizante,56.3
Bloco_052,adequada,sem_biofertilizante,adequada_sem_biofertilizante,60.76
Bloco_052,adequada,com_biofertilizante,adequada_com_biofertilizante,70.52
Bloco_053,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,60.71
Bloco_053,reduzida,com_biofertilizante,reduzida_com_biofertilizante,66.39
Bloco_053,adequada,sem_biofertilizante,adequada_sem_biofertilizante,69.12
Bloco_053,adequada,com_biofertilizante,adequada_com_biofertilizante,84.12
Bloco_054,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,60.12
Bloco_054,reduzida,com_biofertilizante,reduzida_com_biofertilizante,63.02
Bloco_054,adequada,sem_biofertilizante,adequada_sem_biofertilizante,68.88
Bloco_054,adequada,com_biofertilizante,adequada_com_biofertilizante,81.89
Bloco_055,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,60.95
Bloco_055,reduzida,com_biofertilizante,reduzida_com_biofertilizante,67.89
Bloco_055,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.89
Bloco_055,adequada,com_biofertilizante,adequada_com_biofertilizante,77.36
Bloco_056,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,48.5
Bloco_056,reduzida,com_biofertilizante,reduzida_com_biofertilizante,55.12
Bloco_056,adequada,sem_biofertilizante,adequada_sem_biofertilizante,58.97
Bloco_056,adequada,com_biofertilizante,adequada_com_biofertilizante,72.44
Bloco_057,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,45.2
Bloco_057,reduzida,com_biofertilizante,reduzida_com_biofertilizante,59.04
Bloco_057,adequada,sem_biofertilizante,adequada_sem_biofertilizante,67.03
Bloco_057,adequada,com_biofertilizante,adequada_com_biofertilizante,79.24
Bloco_058,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.94
Bloco_058,reduzida,com_biofertilizante,reduzida_com_biofertilizante,52.01
Bloco_058,adequada,sem_biofertilizante,adequada_sem_biofertilizante,51.92
Bloco_058,adequada,com_biofertilizante,adequada_com_biofertilizante,68.02
Bloco_059,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.92
Bloco_059,reduzida,com_biofertilizante,reduzida_com_biofertilizante,54.2
Bloco_059,adequada,sem_biofertilizante,adequada_sem_biofertilizante,55.42
Bloco_059,adequada,com_biofertilizante,adequada_com_biofertilizante,71.14
Bloco_060,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,61.56
Bloco_060,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.85
Bloco_060,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.6
Bloco_060,adequada,com_biofertilizante,adequada_com_biofertilizante,73.32
Bloco_061,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.29
Bloco_061,reduzida,com_biofertilizante,reduzida_com_biofertilizante,61.88
Bloco_061,adequada,sem_biofertilizante,adequada_sem_biofertilizante,66.75
Bloco_061,adequada,com_biofertilizante,adequada_com_biofertilizante,73.45
Bloco_062,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.91
Bloco_062,reduzida,com_biofertilizante,reduzida_com_biofertilizante,58.56
Bloco_062,adequada,sem_biofertilizante,adequada_sem_biofertilizante,63.39
Bloco_062,adequada,com_biofertilizante,adequada_com_biofertilizante,70.64
Bloco_063,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,48.48
Bloco_063,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.59
Bloco_063,adequada,sem_biofertilizante,adequada_sem_biofertilizante,63.43
Bloco_063,adequada,com_biofertilizante,adequada_com_biofertilizante,72.08
Bloco_064,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,68.45
Bloco_064,reduzida,com_biofertilizante,reduzida_com_biofertilizante,70.49
Bloco_064,adequada,sem_biofertilizante,adequada_sem_biofertilizante,76.5
Bloco_064,adequada,com_biofertilizante,adequada_com_biofertilizante,87.21
Bloco_065,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.47
Bloco_065,reduzida,com_biofertilizante,reduzida_com_biofertilizante,52.09
Bloco_065,adequada,sem_biofertilizante,adequada_sem_biofertilizante,63.45
Bloco_065,adequada,com_biofertilizante,adequada_com_biofertilizante,66.57
Bloco_066,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,45.63
Bloco_066,reduzida,com_biofertilizante,reduzida_com_biofertilizante,53.93
Bloco_066,adequada,sem_biofertilizante,adequada_sem_biofertilizante,57.86
Bloco_066,adequada,com_biofertilizante,adequada_com_biofertilizante,61.04
Bloco_067,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.39
Bloco_067,reduzida,com_biofertilizante,reduzida_com_biofertilizante,53.39
Bloco_067,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.12
Bloco_067,adequada,com_biofertilizante,adequada_com_biofertilizante,62.65
Bloco_068,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,43.97
Bloco_068,reduzida,com_biofertilizante,reduzida_com_biofertilizante,42.59
Bloco_068,adequada,sem_biofertilizante,adequada_sem_biofertilizante,47.96
Bloco_068,adequada,com_biofertilizante,adequada_com_biofertilizante,57.55
Bloco_069,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,41.06
Bloco_069,reduzida,com_biofertilizante,reduzida_com_biofertilizante,56.8
Bloco_069,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.33
Bloco_069,adequada,com_biofertilizante,adequada_com_biofertilizante,72.34
Bloco_070,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,55.76
Bloco_070,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.16
Bloco_070,adequada,sem_biofertilizante,adequada_sem_biofertilizante,68.0
Bloco_070,adequada,com_biofertilizante,adequada_com_biofertilizante,75.59
Bloco_071,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.46
Bloco_071,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.2
Bloco_071,adequada,sem_biofertilizante,adequada_sem_biofertilizante,56.85
Bloco_071,adequada,com_biofertilizante,adequada_com_biofertilizante,56.78
Bloco_072,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,47.09
Bloco_072,reduzida,com_biofertilizante,reduzida_com_biofertilizante,52.67
Bloco_072,adequada,sem_biofertilizante,adequada_sem_biofertilizante,54.21
Bloco_072,adequada,com_biofertilizante,adequada_com_biofertilizante,63.71
Bloco_073,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,58.47
Bloco_073,reduzida,com_biofertilizante,reduzida_com_biofertilizante,65.63
Bloco_073,adequada,sem_biofertilizante,adequada_sem_biofertilizante,67.43
Bloco_073,adequada,com_biofertilizante,adequada_com_biofertilizante,77.61
Bloco_074,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,44.79
Bloco_074,reduzida,com_biofertilizante,reduzida_com_biofertilizante,43.02
Bloco_074,adequada,sem_biofertilizante,adequada_sem_biofertilizante,51.31
Bloco_074,adequada,com_biofertilizante,adequada_com_biofertilizante,58.9
Bloco_075,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,55.85
Bloco_075,reduzida,com_biofertilizante,reduzida_com_biofertilizante,66.66
Bloco_075,adequada,sem_biofertilizante,adequada_sem_biofertilizante,69.21
Bloco_075,adequada,com_biofertilizante,adequada_com_biofertilizante,81.68
Bloco_076,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.44
Bloco_076,reduzida,com_biofertilizante,reduzida_com_biofertilizante,62.04
Bloco_076,adequada,sem_biofertilizante,adequada_sem_biofertilizante,59.9
Bloco_076,adequada,com_biofertilizante,adequada_com_biofertilizante,74.31
Bloco_077,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.65
Bloco_077,reduzida,com_biofertilizante,reduzida_com_biofertilizante,51.44
Bloco_077,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.85
Bloco_077,adequada,com_biofertilizante,adequada_com_biofertilizante,70.53
Bloco_078,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.27
Bloco_078,reduzida,com_biofertilizante,reduzida_com_biofertilizante,61.87
Bloco_078,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.64
Bloco_078,adequada,com_biofertilizante,adequada_com_biofertilizante,73.24
Bloco_079,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.69
Bloco_079,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.84
Bloco_079,adequada,sem_biofertilizante,adequada_sem_biofertilizante,66.03
Bloco_079,adequada,com_biofertilizante,adequada_com_biofertilizante,73.42
Bloco_080,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.61
Bloco_080,reduzida,com_biofertilizante,reduzida_com_biofertilizante,62.98
Bloco_080,adequada,sem_biofertilizante,adequada_sem_biofertilizante,63.32
Bloco_080,adequada,com_biofertilizante,adequada_com_biofertilizante,78.94
Bloco_081,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,49.12
Bloco_081,reduzida,com_biofertilizante,reduzida_com_biofertilizante,61.39
Bloco_081,adequada,sem_biofertilizante,adequada_sem_biofertilizante,64.56
Bloco_081,adequada,com_biofertilizante,adequada_com_biofertilizante,74.12
Bloco_082,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.03
Bloco_082,reduzida,com_biofertilizante,reduzida_com_biofertilizante,63.55
Bloco_082,adequada,sem_biofertilizante,adequada_sem_biofertilizante,58.32
Bloco_082,adequada,com_biofertilizante,adequada_com_biofertilizante,71.64
Bloco_083,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,60.51
Bloco_083,reduzida,com_biofertilizante,reduzida_com_biofertilizante,64.86
Bloco_083,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.36
Bloco_083,adequada,com_biofertilizante,adequada_com_biofertilizante,80.49
Bloco_084,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,46.72
Bloco_084,reduzida,com_biofertilizante,reduzida_com_biofertilizante,55.56
Bloco_084,adequada,sem_biofertilizante,adequada_sem_biofertilizante,58.71
Bloco_084,adequada,com_biofertilizante,adequada_com_biofertilizante,70.52
Bloco_085,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,47.72
Bloco_085,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.56
Bloco_085,adequada,sem_biofertilizante,adequada_sem_biofertilizante,64.52
Bloco_085,adequada,com_biofertilizante,adequada_com_biofertilizante,69.73
Bloco_086,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,47.63
Bloco_086,reduzida,com_biofertilizante,reduzida_com_biofertilizante,54.71
Bloco_086,adequada,sem_biofertilizante,adequada_sem_biofertilizante,60.29
Bloco_086,adequada,com_biofertilizante,adequada_com_biofertilizante,67.57
Bloco_087,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,50.75
Bloco_087,reduzida,com_biofertilizante,reduzida_com_biofertilizante,59.91
Bloco_087,adequada,sem_biofertilizante,adequada_sem_biofertilizante,67.16
Bloco_087,adequada,com_biofertilizante,adequada_com_biofertilizante,80.01
Bloco_088,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.07
Bloco_088,reduzida,com_biofertilizante,reduzida_com_biofertilizante,63.78
Bloco_088,adequada,sem_biofertilizante,adequada_sem_biofertilizante,68.62
Bloco_088,adequada,com_biofertilizante,adequada_com_biofertilizante,76.97
Bloco_089,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,56.6
Bloco_089,reduzida,com_biofertilizante,reduzida_com_biofertilizante,56.15
Bloco_089,adequada,sem_biofertilizante,adequada_sem_biofertilizante,66.56
Bloco_089,adequada,com_biofertilizante,adequada_com_biofertilizante,75.31
Bloco_090,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,55.94
