funcionario,estresse_antes_mindfulness,estresse_depois_mindfulness,bem_estar_antes_mindfulness,bem_estar_depois_mindfulness
Funcionario_71,19.63,20.31,51.34,46.81
Funcionario_72,23.57,20.74,59.98,49.97
Funcionario_73,28.74,25.85,45.11,69.68
Funcionario_74,19.28,18.43,53.55,78.21
Funcionario_75,28.27,16.95,49.04,53.51
Funcionario_76,27.24,26.83,75.20,82.66
Funcionario_77,26.47,19.00,57.13,66.17
Funcionario_78,27.15,24.64,74.52,88.03
Funcionario_79,19.29,16.06,81.50,69.89
Funcionario_80,25.42,29.37,38.58,35.16
Funcionario_81,35.11,21.02,41.82,56.39
Funcionario_82,12.89,13.67,67.92,95.45
Funcionario_83,30.76,26.18,49.49,51.24
Funcionario_84,27.21,27.25,25.38,48.49
Funcionario_85,30.62,23.06,43.25,44.74
Funcionario_86,23.11,22.62,62.12,67.89
Funcionario_87,28.45,20.97,80.78,82.50
Funcionario_88,20.96,31.17,72.21,49.40
Funcionario_89,24.89,24.77,47.39,56.22
Funcionario_90,26.83,16.98,65.18,56.93
Funcionario_91,18.09,8.97,62.69,70.58
Funcionario_92,28.50,29.11,62.37,69.33
Funcionario_93,25.55,28.03,52.25,89.11
Funcionario_94,23.19,30.54,60.92,66.13
Funcionario_95,28.12,27.30,56.10,66.72
Funcionario_96,31.57,31.74,52.62,66.58
Funcionario_97,26.24,19.82,61.36,62.24
Funcionario_98,33.57,30.15,44.54,55.80
Funcionario_99,33.92,28.55,48.15,58.53
Funcionario_100,16.29,6.42,82.55,87.19
Funcionario_101,31.85,26.71,39.19,41.97
Funcionario_102,24.36,19.29,44.33,64.25
Funcionario_103,22.86,20.71,64.65,65.86
Funcionario_104,10.74,5.57,70.76,58.77
Funcionario_105,22.38,13.65,63.63,71.00
Funcionario_106,29.77,29.11,52.46,61.64
Funcionario_107,23.61,7.34,64.89,91.59
Funcionario_108,15.24,10.86,69.74,79.67
Funcionario_109,35.06,34.22,42.11,56.00
Funcionario_110,32.66,31.20,43.86,67.91
Funcionario_111,25.29,14.77,56.23,59.65
Funcionario_112,21.21,6.97,45.68,52.24
Funcionario_113,21.08,18.04,67.75,78.42
Funcionario_114,28.64,30.68,56.97,79.03
Funcionario_115,30.19,18.08,49.60,43.67
Funcionario_116,21.32,15.26,68.05,66.97
Funcionario_117,30.31,20.27,62.28,61.43
Funcionario_118,21.34,11.12,66.10,82.01
Funcionario_119,27.16,23.02,39.59,62.64
Funcionario_120,15.80,11.02,76.40,74.47
